OBJECTID,省,省代码,市,市代码,县,县代码,年度,县类型,市类型,省类型,x,y,县代码_,area,人口,dem,road,crop_lv,bare_lv,pop_lv,Shape_Length,Shape_Area,black_revise,forest_lv,gaia_c_lv,pop,worldpop,landscan,city_lv,town_lv,gj_lv,geo_subdivision6,lake_lv
1768,宁夏回族自治区,640000,固原市,640400,泾源县,640424,0,县,地级市,自治区,106.3430023,35.5176010,640424,1111.1600342,85023.000000000000000,2087.262254899999800,0.111450025669000,0.269365859083419,0.001751143347431,76.517350616001721,199775.568320005960000,1111159747.632709300000000,9.373259623259623,0.262763028108277,0.016782465383334,85023.000000000000000,88793.945969581604000,77528.000000000000000,0.003035747116638,0.018494730432579,0.000421181563674,4.000000000000000,0.002675474388204
1769,宁夏回族自治区,640000,固原市,640400,隆德县,640423,0,县,地级市,自治区,106.0619965,35.5842018,640423,1004.1400146,109451.000000000000000,2132.153794039999900,0.120974189553000,0.497465068697170,0.000652497837968,108.999604492373900,275220.840187481490000,1004141258.215828400000000,39.166565900846436,0.063543250989778,0.027369057665085,109451.000000000000000,149775.446555137630000,117172.000000000000000,0.005174272003554,0.026509517243916,0.002463896368919,4.000000000000000,0.005836991186148
1770,宁夏回族自治区,640000,固原市,640400,彭阳县,640425,0,县,地级市,自治区,106.6480026,35.9651985,640425,2534.6201172,160512.000000000000000,1670.367118910000000,0.100682102631000,0.411518921671120,0.000063914844440,63.327774758037570,395359.432495456190000,2534622456.154245400000000,22.314257764734656,0.053180346316555,0.010736273536095,160512.000000000000000,173317.200823783870000,139807.000000000000000,0.002372305976143,0.002550912458106,0.001033289985118,4.000000000000000,0.003225313198584
1771,宁夏回族自治区,640000,固原市,640400,西吉县,640422,0,县,地级市,自治区,105.7149963,35.9332008,640422,3116.1298828,315827.000000000000000,1995.890428760000100,0.111839768610000,0.518451178804857,0.000026571451105,101.352435848784920,371560.170616930990000,3116126389.613421000000000,9.884612537932055,0.023103587916064,0.018605792176226,315827.000000000000000,315008.007033348080000,256005.000000000000000,0.001947225253836,0.016676473769874,0.000419366815273,1.000000000000000,0.005649977362156
1772,宁夏回族自治区,640000,固原市,640400,原州区,640402,0,市辖区,地级市,自治区,106.2549973,36.1258011,640402,2760.7900391,471329.000000000000000,1854.916909620000100,0.118673488844000,0.415532469149156,0.001728416033242,170.722285203080360,337640.776705265160000,2760793644.715668200000000,117.561890243902440,0.076582326391792,0.053440719947468,471329.000000000000000,367810.360993862150000,241055.000000000000000,0.011021504652563,0.021395912770613,0.003169632042855,4.000000000000000,0.008275594473624
1773,宁夏回族自治区,640000,石嘴山市,640200,大武口区,640202,0,市辖区,地级市,自治区,106.3259964,39.0815010,640202,948.3200073,298292.000000000000000,1463.721858639999900,0.185168223322000,0.123632314473421,0.061354920537285,314.547822461942760,157141.521760861560000,948320028.621690630000000,43.796885407085540,0.076699107690170,0.198346965500015,298292.000000000000000,322232.459611654280000,205284.000000000000000,0.018803462398571,0.006861607688975,0.102554931947765,4.000000000000000,0.035171934889769
1774,宁夏回族自治区,640000,石嘴山市,640200,惠农区,640205,0,市辖区,地级市,自治区,106.6490021,39.1795006,640205,1065.6500244,178891.000000000000000,1275.925624640000000,0.189833311956000,0.261205624799439,0.146206335777927,167.869755481033450,177482.194113973150000,1065653544.841267000000000,32.956167481459310,0.036053087033763,0.189951603858411,178891.000000000000000,221661.728649556640000,119028.000000000000000,0.023367913634360,0.033917214628497,0.065446035756760,4.000000000000000,0.033848811148567
1775,宁夏回族自治区,640000,石嘴山市,640200,平罗县,640221,0,县,地级市,自治区,106.5279999,38.8819008,640221,2065.7299805,274206.000000000000000,1243.065980630000000,0.153319771430000,0.465388014695625,0.096084583932909,132.740288424205540,313374.018637459730000,2065733043.487931700000000,37.072119347216884,0.083751770610146,0.102478198074696,274206.000000000000000,265733.344979584220000,183486.000000000000000,0.005556235853506,0.032911319405148,0.037201031489648,4.000000000000000,0.041338813773470
1776,宁夏回族自治区,640000,吴忠市,640300,红寺堡区,640303,0,市辖区,地级市,自治区,106.2149963,37.3655014,640303,2501.2700195,197604.000000000000000,1466.750388800000100,0.119191664132000,0.304703616320343,0.075542806512787,79.001365090153200,423373.081606319060000,2501273234.639708000000000,17.934707241910633,0.035208068746910,0.039164973519621,197604.000000000000000,88852.919444024563000,133960.000000000000000,0.004941363393984,0.007292765839166,0.025729056349683,4.000000000000000,0.003542078456889
1777,宁夏回族自治区,640000,吴忠市,640300,利通区,640302,0,市辖区,地级市,自治区,106.2580032,37.7350006,640302,1421.7299805,460790.000000000000000,1238.785097680000000,0.145627899479000,0.321858961802644,0.133234687111315,324.104885782749880,242942.882612454530000,1421731113.022687700000000,69.632466922414466,0.033542418508808,0.116930338287777,460790.000000000000000,624712.084967494010000,296115.000000000000000,0.026561984649623,0.046958879487457,0.010234846706747,4.000000000000000,0.015142036220691
